scrap_date,asin,price,france_shipment_price,rating,ratings_count
19/11/29,B0168YIWSI,$134.95,$36.61,4.3,354
19/11/29,B018K251JE,$89.99,$87.74,3.9,154
19/11/29,B00VILQKQ8,$77.88,$75.76,3.9,125
19/11/29,B00C78VIUE,nan,nan,3.8,68
19/11/29,B075WKS4D8,$159.99,$50.91,3.8,491
19/11/29,B000YA33DC,$91.00,$47.84,4.5,971
19/11/29,B00505EZYW,$39.99,$15.36,4.7,974
19/11/29,B00WBS31OQ,nan,nan,3.9,68
19/11/29,B0172DS3ME,nan,nan,4.6,3
19/11/29,B00NTJKAXG,$199.95,nan,3.7,199
19/11/29,B00R5WGT2E,$79.95,$36.56,3.9,54
19/11/29,B00V631478,$77.00,$34.61,3.8,20
19/11/29,B009AEMB6I,$21.95,$12.24,4.2,281
19/11/29,B06XSGYCHC,$29.99,$16.33,4.1,156
19/11/29,B012ASF1WQ,nan,nan,3.7,46
19/11/29,B01LYGPB3J,nan,nan,3.4,74
19/11/29,B011QHAOWO,nan,nan,3.8,322
19/11/29,B01J0BFAAO,nan,nan,4.2,29
19/11/29,B019Q88VAM,$198.00,$56.44,3.7,70
19/11/29,B004OVE61U,$28.00,$17.56,4.3,2774
19/11/29,B007QOIP3M,$20.94,nan,4.1,48
19/11/29,B01ETTL6LE,nan,nan,4.0,31
19/11/29,B009E6J1BU,nan,nan,3.8,606
19/11/29,B00B7C07LC,$78.99,$74.74,3.5,54
19/11/29,B01700RNIO,$39.95,$20.81,4.0,96
19/11/29,B005YXXS4I,nan,nan,4.1,97
19/11/29,B00Q397RJY,nan,nan,3.3,31
19/11/29,B005LKCDR2,nan,nan,4.8,8
19/11/29,B001447Z8Q,nan,nan,3.3,28
19/11/29,B06XVDYHQX,$1049.99,nan,3.7,20
19/11/29,B008FH1PJA,$124.99,nan,3.4,1567
19/11/29,B071ZVQVFQ,nan,nan,3.9,705
19/11/29,B001AVRD62,$219.95,$264.54,4.4,1849
19/11/29,B00TVFO08S,nan,nan,3.7,65
19/11/29,B01KUAMCWI,$159.99,$40.91,3.8,395
19/11/29,B01CEAT9ZU,$218.00,$66.59,3.6,33
19/11/29,B01MUG578I,nan,nan,4.3,317
19/11/29,B072MP2CFG,nan,nan,4.3,91
19/11/29,B00IWQ3YPC,nan,nan,4.1,99
19/11/29,B000O3TFWW,$199.95,nan,4.7,365
19/11/29,B00LIL7YVI,$89.75,$29.50,3.0,102
19/11/29,B00170HCOO,$288.99,$115.70,4.2,305
19/11/29,B001BBT7RY,$288.99,$117.10,4.2,305
19/11/29,B00170O1HK,$288.99,$117.10,4.2,305
19/11/29,B0038NMC8O,$59.99,$30.80,4.3,69
19/11/29,B01364B00K,nan,nan,2.6,172
19/11/30,B00F6PRSMW,nan,nan,4.1,396
19/11/30,B01AEW9E46,nan,nan,3.1,65
19/11/30,B00RZYD51A,nan,nan,3.8,130
19/11/30,B0742RMVQ8,nan,nan,3.8,125
19/11/30,B00L2EWRW2,nan,nan,3.7,46
19/11/30,B00PASUGTC,$349.00,nan,4.4,28
19/11/30,B008JJLZ7G,$59.49,$23.21,4.4,4757
19/11/30,B073JHHNJ9,$54.95,$22.10,3.9,2170
19/11/30,B00KGGK1J8,nan,nan,3.8,172
19/11/30,B00IAKLM54,$225.00,$67.41,3.6,820
19/11/30,B005MJHFHK,$28.98,$147.85,nan,nan
19/11/30,B00VXW0J5A,nan,nan,nan,nan
19/11/30,B00OY50CZU,$29.81,nan,nan,nan
19/11/30,B0168YIWSI,$135.94,$36.84,4.3,354
19/11/30,B018K251JE,$89.99,$87.85,3.9,154
19/11/30,B00VILQKQ8,$79.99,$75.83,3.9,125
19/11/30,B00C78VIUE,nan,nan,3.8,68
19/11/30,B075WKS4D8,$159.99,$50.83,3.8,491
19/11/30,B000YA33DC,$91.00,$47.75,4.5,971
19/11/30,B00505EZYW,$39.99,$15.39,4.7,974
19/11/30,B00WBS31OQ,nan,nan,3.9,68
19/11/30,B0172DS3ME,nan,nan,4.6,3
19/11/30,B00NTJKAXG,$184.95,nan,3.7,199
19/11/30,B00R5WGT2E,$79.95,$36.57,3.9,54
19/11/30,B00V631478,$77.00,$34.74,3.8,20
19/11/30,B009AEMB6I,$21.95,$12.22,4.2,281
19/11/30,B06XSGYCHC,$29.99,$16.38,4.1,156
19/11/30,B012ASF1WQ,nan,nan,3.7,46
19/11/30,B01LYGPB3J,nan,nan,3.4,74
19/11/30,B011QHAOWO,nan,nan,3.8,322
19/11/30,B01J0BFAAO,nan,nan,4.2,29
19/11/30,B019Q88VAM,$198.00,$56.49,3.7,70
19/11/30,B004OVE61U,$28.00,$17.64,4.3,2774
19/11/30,B007QOIP3M,$20.94,nan,4.1,48
19/11/30,B01ETTL6LE,nan,nan,4.0,31
19/11/30,B009E6J1BU,nan,nan,3.8,606
19/11/30,B00B7C07LC,$78.99,$74.88,3.5,54
19/11/30,B01700RNIO,$39.95,$20.73,4.0,96
19/11/30,B005YXXS4I,nan,nan,4.1,97
19/11/30,B00Q397RJY,nan,nan,3.3,31
19/11/30,B005LKCDR2,nan,nan,4.8,8
19/11/30,B001447Z8Q,nan,nan,3.3,28
19/11/30,B06XVDYHQX,$1049.99,nan,3.7,20
19/11/30,B008FH1PJA,$124.99,nan,3.4,1567
19/11/30,B071ZVQVFQ,nan,nan,3.9,705
19/11/30,B001AVRD62,$219.95,$264.47,4.4,1849
19/11/30,B00TVFO08S,nan,nan,3.7,65
19/11/30,B01KUAMCWI,$159.99,$40.90,3.8,396
19/11/30,B01CEAT9ZU,$218.00,$66.43,3.6,33
19/11/30,B01MUG578I,nan,nan,4.3,317
19/11/30,B072MP2CFG,nan,nan,4.3,92
19/11/30,B00IWQ3YPC,nan,nan,4.1,99
19/11/30,B000O3TFWW,$199.95,nan,4.7,365
19/11/30,B00LIL7YVI,$89.75,$29.53,3.0,102
19/11/30,B00170HCOO,$288.99,$116.05,4.2,305
19/11/30,B001BBT7RY,$288.99,$117.12,4.2,305
19/11/30,B00170O1HK,$288.99,$117.12,4.2,305
19/11/30,B0038NMC8O,$59.99,$30.74,4.3,69
19/11/30,B01364B00K,nan,nan,2.6,172
19/11/30,B00F6PRSMW,nan,nan,4.1,396
19/11/30,B01AEW9E46,nan,nan,3.1,65
19/11/30,B00RZYD51A,nan,nan,3.8,130
19/11/30,B0742RMVQ8,nan,nan,3.8,125
19/11/30,B00L2EWRW2,nan,nan,3.7,46
19/11/30,B00PASUGTC,$349.00,nan,4.4,28
19/11/30,B008JJLZ7G,$59.49,$23.20,4.4,4757
19/11/30,B073JHHNJ9,$54.95,$22.07,3.9,2171
19/11/30,B00KGGK1J8,nan,nan,3.8,172
19/11/30,B00IAKLM54,$225.00,$66.77,3.6,820
19/11/30,B005MJHFHK,$28.98,$147.85,nan,nan
19/11/30,B00VXW0J5A,nan,nan,nan,nan
19/11/30,B00OY50CZU,$29.81,nan,nan,nan
19/11/30,B0168YIWSI,$135.94,$36.84,4.3,354
19/11/30,B018K251JE,$89.99,$87.85,3.9,154
19/11/30,B00VILQKQ8,$79.99,$75.83,3.9,125
19/11/30,B00C78VIUE,nan,nan,3.8,68
19/11/30,B075WKS4D8,$159.99,$50.83,3.8,491
19/11/30,B000YA33DC,$91.00,$47.75,4.5,971
19/11/30,B00505EZYW,$39.99,$15.39,4.7,974
19/11/30,B00WBS31OQ,nan,nan,3.9,68
19/11/30,B0172DS3ME,nan,nan,4.6,3
19/11/30,B00NTJKAXG,$184.95,nan,3.7,199
19/11/30,B00R5WGT2E,$79.95,$36.57,3.9,54
19/11/30,B00V631478,$77.00,$34.74,3.8,20
19/11/30,B009AEMB6I,$21.95,$12.22,4.2,281
19/11/30,B06XSGYCHC,$29.99,$16.38,4.1,156
19/11/30,B012ASF1WQ,nan,nan,3.7,46
19/11/30,B01LYGPB3J,nan,nan,3.4,74
19/11/30,B011QHAOWO,nan,nan,3.8,322
19/11/30,B01J0BFAAO,nan,nan,4.2,29
19/11/30,B019Q88VAM,$198.00,$56.49,3.7,70
19/11/30,B004OVE61U,$28.00,$17.64,4.3,2774
19/11/30,B007QOIP3M,$20.94,nan,4.1,48
19/11/30,B01ETTL6LE,nan,nan,4.0,31
19/11/30,B009E6J1BU,nan,nan,3.8,606
19/11/30,B00B7C07LC,$78.99,$74.88,3.5,54
19/11/30,B01700RNIO,$39.95,$20.73,4.0,96
19/11/30,B005YXXS4I,nan,nan,4.1,97
19/11/30,B00Q397RJY,nan,nan,3.3,31
19/11/30,B005LKCDR2,nan,nan,4.8,8
19/11/30,B001447Z8Q,nan,nan,3.3,28
19/11/30,B06XVDYHQX,$1049.99,nan,3.7,20
19/11/30,B008FH1PJA,$124.99,nan,3.4,1567
19/11/30,B071ZVQVFQ,nan,nan,3.9,705
19/11/30,B001AVRD62,$219.95,$264.47,4.4,1849
19/11/30,B00TVFO08S,nan,nan,3.7,65
19/11/30,B01KUAMCWI,$159.99,$40.90,3.8,396
19/11/30,B01CEAT9ZU,$218.00,$66.43,3.6,33
19/11/30,B01MUG578I,nan,nan,4.3,317
19/11/30,B072MP2CFG,nan,nan,4.3,92
19/11/30,B00IWQ3YPC,nan,nan,4.1,99
19/11/30,B000O3TFWW,$199.95,nan,4.7,365
19/11/30,B00LIL7YVI,$89.75,$29.53,3.0,102
19/11/30,B00170HCOO,$288.99,$116.05,4.2,305
19/11/30,B001BBT7RY,$288.99,$117.12,4.2,305
19/11/30,B00170O1HK,$288.99,$117.12,4.2,305
19/11/30,B0038NMC8O,$59.99,$30.74,4.3,69
19/11/30,B01364B00K,nan,nan,2.6,172
19/11/30,B00F6PRSMW,nan,nan,4.1,396
19/11/30,B01AEW9E46,nan,nan,3.1,65
19/11/30,B00RZYD51A,nan,nan,3.8,130
19/11/30,B0742RMVQ8,nan,nan,3.8,125
19/11/30,B00L2EWRW2,nan,nan,3.7,46
19/11/30,B00PASUGTC,$349.00,nan,4.4,28
19/11/30,B008JJLZ7G,$59.49,$23.20,4.4,4757
19/11/30,B073JHHNJ9,$54.95,$22.07,3.9,2171
19/11/30,B00KGGK1J8,nan,nan,3.8,172
19/11/30,B00IAKLM54,$225.00,$66.77,3.6,820
19/11/30,B005MJHFHK,$28.98,$147.85,nan,nan
19/11/30,B00VXW0J5A,nan,nan,nan,nan
19/11/30,B00OY50CZU,$29.81,nan,nan,nan
19/12/01,B0168YIWSI,$134.95,$36.61,4.3,354
19/12/01,B018K251JE,$89.99,$87.74,3.9,154
19/12/01,B00VILQKQ8,$79.99,$75.76,3.9,125
19/12/01,B00C78VIUE,nan,nan,3.8,68
19/12/01,B075WKS4D8,$159.99,$50.91,3.8,492
19/12/01,B000YA33DC,$91.00,$47.84,4.5,971
19/12/01,B00505EZYW,$39.99,$15.36,4.7,974
19/12/01,B00WBS31OQ,nan,nan,3.9,68
19/12/01,B0172DS3ME,nan,nan,4.6,3
19/12/01,B00NTJKAXG,$184.95,nan,3.7,199
19/12/01,B00R5WGT2E,$79.95,$36.56,3.9,54
19/12/01,B00V631478,$77.00,$34.61,3.8,20
19/12/01,B009AEMB6I,$21.95,$12.24,4.2,281
19/12/01,B06XSGYCHC,$29.99,$16.33,4.1,156
19/12/01,B012ASF1WQ,nan,nan,3.7,46
19/12/01,B01LYGPB3J,nan,nan,3.4,74
19/12/01,B011QHAOWO,nan,nan,3.8,322
19/12/01,B01J0BFAAO,nan,nan,4.2,29
19/12/01,B019Q88VAM,$198.00,$56.44,3.7,70
19/12/01,B004OVE61U,$27.99,$17.12,4.3,2774
19/12/01,B007QOIP3M,$20.94,nan,4.1,48
19/12/01,B01ETTL6LE,nan,nan,4.0,31
19/12/01,B009E6J1BU,nan,nan,3.8,606
19/12/01,B00B7C07LC,$78.99,$74.74,3.5,54
19/12/01,B01700RNIO,$39.95,$20.81,4.0,96
19/12/01,B005YXXS4I,nan,nan,4.1,97
19/12/01,B00Q397RJY,nan,nan,3.3,31
19/12/01,B005LKCDR2,nan,nan,4.8,8
19/12/01,B001447Z8Q,nan,nan,3.3,28
19/12/01,B06XVDYHQX,$1049.99,nan,3.7,20
19/12/01,B008FH1PJA,$124.99,nan,3.4,1567
19/12/01,B071ZVQVFQ,nan,nan,3.9,705
19/12/01,B001AVRD62,$219.95,$264.54,4.4,1849
19/12/01,B00TVFO08S,nan,nan,3.7,65
19/12/01,B01KUAMCWI,$159.99,$40.91,3.8,396
19/12/01,B01CEAT9ZU,$218.00,$66.59,3.6,33
19/12/01,B01MUG578I,nan,nan,4.3,317
19/12/01,B072MP2CFG,nan,nan,4.3,92
19/12/01,B00IWQ3YPC,nan,nan,4.1,99
19/12/01,B000O3TFWW,$199.95,nan,4.7,365
19/12/01,B00LIL7YVI,$89.75,$29.50,3.0,102
19/12/01,B00170HCOO,$288.99,$115.70,4.2,305
19/12/01,B001BBT7RY,$288.99,$117.10,4.2,305
19/12/01,B00170O1HK,$288.99,$117.10,4.2,305
19/12/01,B0038NMC8O,$59.99,$30.80,4.3,69
19/12/01,B01364B00K,nan,nan,2.6,172
19/12/01,B00F6PRSMW,nan,nan,4.1,396
19/12/01,B01AEW9E46,nan,nan,3.1,65
19/12/01,B00RZYD51A,nan,nan,3.8,130
19/12/01,B0742RMVQ8,nan,nan,3.8,125
19/12/01,B00L2EWRW2,nan,nan,3.7,46
19/12/01,B00PASUGTC,$349.00,nan,4.4,28
19/12/01,B008JJLZ7G,$59.49,$23.21,4.4,4758
19/12/01,B073JHHNJ9,$54.95,$22.10,3.9,2171
19/12/01,B00KGGK1J8,nan,nan,3.8,172
19/12/01,B00IAKLM54,$225.00,$67.41,3.6,820
19/12/01,B005MJHFHK,$28.98,$147.85,nan,nan
19/12/01,B00VXW0J5A,nan,nan,nan,nan
19/12/01,B00OY50CZU,$29.81,nan,nan,nan
19/12/02,B0168YIWSI,$134.94,nan,4.3,354
19/12/02,B018K251JE,$89.99,$87.74,3.9,154
19/12/02,B00VILQKQ8,$79.99,$75.76,3.9,125
19/12/02,B00C78VIUE,nan,nan,3.8,68
19/12/02,B075WKS4D8,$159.99,$50.91,3.8,492
19/12/02,B000YA33DC,$91.00,$47.84,4.5,971
19/12/02,B00505EZYW,$39.99,$15.36,4.7,974
19/12/02,B00WBS31OQ,nan,nan,3.9,68
19/12/02,B0172DS3ME,nan,nan,4.6,3
19/12/02,B00NTJKAXG,$184.95,nan,3.7,199
19/12/02,B00R5WGT2E,$79.95,$36.56,3.9,54
19/12/02,B00V631478,$77.00,$34.61,3.8,20
19/12/02,B009AEMB6I,$21.95,$12.24,4.2,281
19/12/02,B06XSGYCHC,$29.99,$16.33,4.1,156
19/12/02,B012ASF1WQ,nan,nan,3.7,46
19/12/02,B01LYGPB3J,nan,nan,3.4,74
19/12/02,B011QHAOWO,nan,nan,3.8,322
19/12/02,B01J0BFAAO,nan,nan,4.2,29
19/12/02,B019Q88VAM,$198.00,$56.44,3.7,70
19/12/02,B004OVE61U,$28.00,$17.56,4.3,2774
19/12/02,B007QOIP3M,$20.94,nan,4.1,48
19/12/02,B01ETTL6LE,nan,nan,4.0,31
19/12/02,B009E6J1BU,nan,nan,3.8,606
19/12/02,B00B7C07LC,$78.99,$74.74,3.5,54
19/12/02,B01700RNIO,$39.95,$20.81,4.0,96
19/12/02,B005YXXS4I,nan,nan,4.1,97
19/12/02,B00Q397RJY,nan,nan,3.3,31
19/12/02,B005LKCDR2,nan,nan,4.8,8
19/12/02,B001447Z8Q,nan,nan,3.3,28
19/12/02,B06XVDYHQX,$1049.99,nan,3.7,20
19/12/02,B008FH1PJA,$124.99,nan,3.4,1567
19/12/02,B071ZVQVFQ,nan,nan,3.9,705
19/12/02,B001AVRD62,$219.95,$264.54,4.4,1849
19/12/02,B00TVFO08S,nan,nan,3.7,65
19/12/02,B01KUAMCWI,$159.99,$40.91,3.8,396
19/12/02,B01CEAT9ZU,$218.00,$66.59,3.6,33
19/12/02,B01MUG578I,nan,nan,4.3,317
19/12/02,B072MP2CFG,nan,nan,4.3,92
19/12/02,B00IWQ3YPC,nan,nan,4.1,99
19/12/02,B000O3TFWW,$199.95,nan,4.7,365
19/12/02,B00LIL7YVI,$89.75,$29.50,3.0,102
19/12/02,B00170HCOO,$288.99,$115.70,4.2,305
19/12/02,B001BBT7RY,$288.99,$117.10,4.2,305
19/12/02,B00170O1HK,$288.99,$117.10,4.2,305
19/12/02,B0038NMC8O,$59.99,$30.80,4.3,69
19/12/02,B01364B00K,nan,nan,2.6,172
19/12/02,B00F6PRSMW,nan,nan,4.1,396
19/12/02,B01AEW9E46,nan,nan,3.1,65
19/12/02,B00RZYD51A,nan,nan,3.8,130
19/12/02,B0742RMVQ8,nan,nan,3.8,125
19/12/02,B00L2EWRW2,nan,nan,3.7,46
19/12/02,B00PASUGTC,$349.00,nan,4.4,28
19/12/02,B008JJLZ7G,$59.49,$23.21,4.4,4758
19/12/02,B073JHHNJ9,$54.44,$21.99,3.9,2171
19/12/02,B00KGGK1J8,nan,nan,3.8,172
19/12/02,B00IAKLM54,$189.99,$58.58,3.6,820
19/12/02,B005MJHFHK,$33.63,$199.95,nan,nan
19/12/02,B00VXW0J5A,nan,nan,nan,nan
19/12/02,B00OY50CZU,$29.81,nan,nan,nan
19/12/03,B0168YIWSI,$135.33,$36.69,4.3,355
19/12/03,B018K251JE,$89.99,$87.74,3.9,154
19/12/03,B00VILQKQ8,$84.93,$76.81,3.9,125
19/12/03,B00C78VIUE,nan,nan,3.8,68
19/12/03,B075WKS4D8,$159.99,$50.91,3.7,493
19/12/03,B000YA33DC,$91.00,$47.84,4.5,971
19/12/03,B00505EZYW,$39.99,$15.36,4.7,975
19/12/03,B00WBS31OQ,nan,nan,3.9,68
19/12/03,B0172DS3ME,nan,nan,4.6,3
19/12/03,B00NTJKAXG,$184.95,nan,3.6,200
19/12/03,B00R5WGT2E,$79.95,$36.56,3.9,54
19/12/03,B00V631478,$77.00,$34.61,3.8,20
19/12/03,B009AEMB6I,$21.95,$12.24,4.2,281
19/12/03,B06XSGYCHC,$42.95,$18.94,4.1,158
19/12/03,B012ASF1WQ,nan,nan,3.7,46
19/12/03,B01LYGPB3J,nan,nan,3.4,74
19/12/03,B011QHAOWO,nan,nan,3.8,322
19/12/03,B01J0BFAAO,nan,nan,4.2,29
19/12/03,B019Q88VAM,$198.00,$56.44,3.7,70
19/12/03,B004OVE61U,$28.00,$17.28,4.3,2776
19/12/03,B007QOIP3M,$28.32,$13.27,4.2,49
19/12/03,B01ETTL6LE,nan,nan,4.0,31
19/12/03,B009E6J1BU,nan,nan,3.8,606
19/12/03,B00B7C07LC,$78.99,$74.74,3.5,54
19/12/03,B01700RNIO,$39.95,$20.81,4.0,97
19/12/03,B005YXXS4I,nan,nan,4.1,97
19/12/03,B00Q397RJY,nan,nan,3.3,31
19/12/03,B005LKCDR2,nan,nan,4.8,8
19/12/03,B001447Z8Q,nan,nan,3.3,28
19/12/03,B06XVDYHQX,$1049.99,nan,3.7,20
19/12/03,B008FH1PJA,$124.99,nan,3.3,1568
19/12/03,B071ZVQVFQ,nan,nan,3.9,706
19/12/03,B001AVRD62,$219.95,$264.54,4.4,1850
19/12/03,B00TVFO08S,nan,nan,3.6,65
19/12/03,B01KUAMCWI,$159.99,$40.91,3.8,396
19/12/03,B01CEAT9ZU,$218.00,$66.59,3.6,33
19/12/03,B01MUG578I,nan,nan,4.3,317
19/12/03,B072MP2CFG,nan,nan,4.3,92
19/12/03,B00IWQ3YPC,nan,nan,4.1,99
19/12/03,B000O3TFWW,$199.95,nan,4.7,365
19/12/03,B00LIL7YVI,$89.75,$29.50,3.0,102
19/12/03,B00170HCOO,$289.00,$115.70,4.2,307
19/12/03,B001BBT7RY,$289.00,$117.10,4.2,307
19/12/03,B00170O1HK,$289.00,$117.10,4.2,307
19/12/03,B0038NMC8O,$59.99,$30.80,4.3,69
19/12/03,B01364B00K,nan,nan,2.6,173
19/12/03,B00F6PRSMW,nan,nan,4.1,396
19/12/03,B01AEW9E46,nan,nan,3.1,65
19/12/03,B00RZYD51A,nan,nan,3.8,130
19/12/03,B0742RMVQ8,nan,nan,3.8,125
19/12/03,B00L2EWRW2,nan,nan,3.7,46
19/12/03,B00PASUGTC,$349.00,nan,4.4,28
19/12/03,B008JJLZ7G,$73.54,$26.22,4.4,4768
19/12/03,B073JHHNJ9,$54.95,$22.10,3.9,2173
19/12/03,B00KGGK1J8,nan,nan,3.8,172
19/12/03,B00IAKLM54,$199.90,$61.06,3.6,820
19/12/03,B005MJHFHK,$32.52,$199.95,nan,nan
19/12/03,B00VXW0J5A,nan,nan,nan,nan
19/12/03,B00OY50CZU,$29.81,nan,nan,nan
19/12/04,B0168YIWSI,$135.94,$36.85,4.3,355
19/12/04,B018K251JE,$89.99,$87.88,3.9,154
19/12/04,B00VILQKQ8,$84.93,$76.91,3.9,125
19/12/04,B00C78VIUE,nan,nan,3.8,68
19/12/04,B075WKS4D8,$159.99,$51.04,3.7,495
19/12/04,B0168YIWSI,$135.94,$36.85,4.3,355
19/12/04,B018K251JE,$89.99,$87.88,3.9,154
19/12/04,B00VILQKQ8,$84.93,$76.91,3.9,125
19/12/04,B00C78VIUE,nan,nan,3.8,68
19/12/04,B075WKS4D8,$159.99,$51.04,3.7,495
19/12/04,B000YA33DC,$91.00,$47.75,4.5,971
19/12/04,B00505EZYW,$39.99,$15.33,4.7,975
19/12/04,B00WBS31OQ,nan,nan,3.9,68
19/12/04,B0172DS3ME,nan,nan,4.6,3
19/12/04,B00NTJKAXG,nan,nan,3.6,200
19/12/04,B00R5WGT2E,$79.95,$36.46,4.4,203
19/12/04,B00V631478,$77.00,$34.71,3.8,20
19/12/04,B009AEMB6I,$21.95,$12.27,4.2,283
19/12/04,B06XSGYCHC,$58.37,$21.97,4.1,158
19/12/04,B012ASF1WQ,nan,nan,3.7,46
19/12/04,B01LYGPB3J,nan,nan,3.4,74
19/12/04,B011QHAOWO,nan,nan,3.8,322
19/12/04,B01J0BFAAO,nan,nan,4.2,29
19/12/04,B019Q88VAM,$198.00,$56.30,3.7,70
19/12/04,B004OVE61U,$27.99,$17.14,4.3,2777
19/12/04,B007QOIP3M,$28.32,$13.30,4.2,49
19/12/04,B01ETTL6LE,nan,nan,4.0,31
19/12/04,B009E6J1BU,nan,nan,3.8,606
19/12/04,B00B7C07LC,$78.99,$74.83,3.5,54
19/12/04,B01700RNIO,$39.95,$20.82,4.0,97
19/12/04,B005YXXS4I,nan,nan,4.1,97
19/12/04,B00Q397RJY,nan,nan,3.3,31
19/12/04,B005LKCDR2,nan,nan,4.8,8
19/12/04,B001447Z8Q,nan,nan,3.3,28
19/12/04,B06XVDYHQX,$1049.99,nan,3.7,20
19/12/04,B008FH1PJA,$124.99,nan,3.3,1568
19/12/04,B071ZVQVFQ,nan,nan,3.9,706
19/12/04,B001AVRD62,$219.95,$264.30,4.4,1851
19/12/04,B00TVFO08S,nan,nan,3.6,65
19/12/04,B01KUAMCWI,$159.99,$40.89,3.8,396
19/12/04,B01CEAT9ZU,$218.00,$65.89,3.6,33
19/12/04,B01MUG578I,nan,nan,4.3,317
19/12/04,B072MP2CFG,nan,nan,4.3,92
19/12/04,B00IWQ3YPC,nan,nan,4.1,99
19/12/04,B000O3TFWW,$199.95,nan,4.7,365
19/12/04,B00LIL7YVI,$90.61,$29.68,3.0,102
19/12/04,B00170HCOO,$289.00,nan,4.2,307
19/12/04,B001BBT7RY,$289.00,$117.13,4.2,307
19/12/04,B00170O1HK,$289.00,$117.13,4.2,307
19/12/04,B0038NMC8O,$59.99,$30.80,4.3,69
19/12/04,B01364B00K,nan,nan,2.6,173
19/12/04,B00F6PRSMW,nan,nan,4.1,396
19/12/04,B01AEW9E46,nan,nan,3.1,65
19/12/04,B00RZYD51A,nan,nan,3.8,130
19/12/04,B0742RMVQ8,nan,nan,3.8,125
19/12/04,B00L2EWRW2,nan,nan,3.7,46
19/12/04,B00PASUGTC,$349.00,nan,4.4,28
19/12/04,B008JJLZ7G,$73.54,$26.21,4.4,4770
19/12/04,B073JHHNJ9,$54.95,$22.16,3.9,2173
